run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220530-08:35:27-15185,runattr,,,configname,General,,,
General-0-20220530-08:35:27-15185,runattr,,,datetime,20220530-08:35:27,,,
General-0-20220530-08:35:27-15185,runattr,,,experiment,General,,,
General-0-20220530-08:35:27-15185,runattr,,,inifile,omnetpp.ini,,,
General-0-20220530-08:35:27-15185,runattr,,,iterationvars,,,,
General-0-20220530-08:35:27-15185,runattr,,,iterationvarsf,,,,
General-0-20220530-08:35:27-15185,runattr,,,measurement,,,,
General-0-20220530-08:35:27-15185,runattr,,,network,Network,,,
General-0-20220530-08:35:27-15185,runattr,,,processid,15185,,,
General-0-20220530-08:35:27-15185,runattr,,,repetition,0,,,
General-0-20220530-08:35:27-15185,runattr,,,replication,#0,,,
General-0-20220530-08:35:27-15185,runattr,,,resultdir,results,,,
General-0-20220530-08:35:27-15185,runattr,,,runnumber,0,,,
General-0-20220530-08:35:27-15185,runattr,,,seedset,0,,,
General-0-20220530-08:35:27-15185,param,,,Network.nodeTx.gen.generationInterval,exponential(0.1),,,
General-0-20220530-08:35:27-15185,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220530-08:35:27-15185,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220530-08:35:27-15185,param,,,Network.queue.bufferSize,200,,,
General-0-20220530-08:35:27-15185,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20220530-08:35:27-15185,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20220530-08:35:27-15185,param,,,Network.confirmQueue.bufferSize,200,,,
